Equipo,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Att,Succ,Tkld,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Temporada
Levante,539.5,62.6,194.3,232.6,119.3,18.9,18.0,9.16,8.82,285.3,1493.5,768.1,15.0,10.7,4.05,16.2,7.95,328.6,35.1,2021-2022
Mallorca,508.0,58.7,173.5,218.9,121.6,17.0,16.1,9.68,6.42,264.1,1458.5,726.6,15.1,11.8,2.95,16.1,10.6,287.4,29.2,2021-2022
Osasuna,541.2,53.0,159.6,244.0,142.0,18.3,12.3,6.87,5.42,268.7,1325.3,612.6,11.0,9.42,2.00,15.7,8.13,309.9,34.6,2021-2022
Rayo Vallecano,560.0,56.9,173.4,255.3,137.9,19.3,16.8,9.39,7.42,285.0,1616.9,844.4,18.3,13.1,3.97,18.3,9.76,332.4,34.2,2021-2022
Real Madrid,747.1,63.1,214.6,316.8,221.8,31.5,20.5,12.0,8.53,488.5,2534.3,1360.9,27.1,19.9,8.68,13.0,7.29,558.8,54.2,2021-2022
Real Sociedad,617.2,67.7,197.5,280.8,144.8,22.4,17.6,9.47,8.16,349.7,1825.8,948.4,17.6,14.4,4.68,16.5,10.3,399.7,38.1,2021-2022
Sevilla,683.7,70.8,234.3,299.3,154.5,19.5,15.5,8.03,7.45,397.3,1797.6,920.4,16.4,13.6,3.66,15.5,8.58,478.9,41.6,2021-2022
Valencia,471.2,52.5,152.4,198.0,126.9,16.6,16.9,9.47,7.42,241.7,1380.3,723.2,14.6,11.8,2.87,17.3,7.74,250.1,31.2,2021-2022
Villarreal,638.4,64.2,203.8,283.6,156.6,25.6,19.6,11.8,7.79,384.8,2066.3,1109.7,20.8,12.7,6.32,15.0,8.74,432.0,44.3,2021-2022
Almeria,528.2,71.4,203.8,222.8,107.1,16.6,17.5,7.79,8.16,283.9,1499.5,766.7,15.0,11.4,3.45,15.3,7.39,317.0,28.4,2022-2023
Athletic Club,598.3,52.1,162.1,267.5,174.9,24.5,19.3,9.13,8.03,339.4,1867.1,1033.7,22.7,15.4,5.71,14.6,9.24,375.9,47.4,2022-2023
Atletico de Madrid,642.5,63.5,205.0,292.2,150.4,24.6,17.3,8.47,6.89,360.6,1773.8,941.8,19.2,12.4,5.26,12.8,7.29,439.6,41.0,2022-2023
Barcelona,747.8,53.2,177.8,368.4,207.6,30.3,21.1,10.4,8.45,494.9,2666.9,1463.9,25.3,20.6,7.34,14.4,8.58,556.3,57.1,2022-2023
Betis,591.6,61.3,191.4,269.0,137.6,18.9,20.3,9.61,8.18,332.6,1675.0,817.4,16.3,12.9,4.11,14.8,9.29,383.3,33.1,2022-2023
Cadiz,477.8,62.5,171.0,204.4,107.7,15.2,15.0,6.47,6.55,237.7,1268.6,648.0,12.5,9.21,2.34,14.9,9.32,258.9,25.3,2022-2023
Celta Vigo,594.9,58.3,189.3,265.8,146.1,19.3,18.4,8.50,7.76,356.5,1875.5,963.8,18.5,14.7,4.24,14.9,7.84,384.0,36.7,2022-2023
Elche,524.9,63.6,185.7,230.1,114.8,16.3,18.6,9.00,8.18,296.7,1581.2,773.6,14.8,10.7,2.82,15.2,9.08,314.5,31.2,2022-2023
Espanyol,494.9,58.3,162.4,219.9,117.7,18.1,15.1,6.76,6.84,252.7,1345.7,660.1,13.9,10.1,2.92,13.8,6.45,281.9,29.9,2022-2023
Getafe,472.3,52.1,151.8,220.2,105.1,15.5,12.0,5.71,4.97,228.8,1100.3,539.6,9.61,7.68,2.05,13.3,7.05,252.7,26.0,2022-2023
Girona,589.4,68.9,208.4,256.7,129.8,20.0,19.2,8.97,8.18,351.7,1946.7,1017.6,19.1,13.1,4.39,12.3,8.68,395.3,35.9,2022-2023
Mallorca,478.2,61.9,172.4,211.4,99.8,13.8,14.6,7.71,5.21,250.2,1341.6,646.4,12.5,8.97,2.47,13.1,7.95,272.5,24.6,2022-2023
Osasuna,549.7,60.2,168.3,246.1,140.3,18.7,16.5,8.24,6.50,294.7,1533.3,760.2,14.3,10.9,3.37,15.5,8.32,331.1,35.2,2022-2023
Rayo Vallecano,573.0,54.2,164.9,255.4,158.7,18.4,17.4,7.79,7.63,321.5,1720.4,881.8,18.5,14.4,3.45,14.6,9.84,352.2,36.2,2022-2023
Real Madrid,760.1,63.6,204.8,338.4,222.7,30.3,25.6,12.5,9.97,500.7,2641.6,1399.6,26.5,19.3,8.89,12.9,7.82,577.8,52.6,2022-2023
Real Sociedad,611.3,60.1,181.3,284.1,151.6,21.0,17.9,8.08,7.71,351.6,1866.1,966.8,18.2,13.1,4.92,16.0,9.68,397.4,38.5,2022-2023
Sevilla,605.2,60.1,187.9,265.0,157.5,19.5,15.9,7.08,6.76,356.4,1766.7,856.6,14.7,13.7,3.21,13.6,8.21,401.1,39.4,2022-2023
Valencia,569.0,54.2,169.6,240.9,164.6,21.6,19.7,9.26,8.08,322.1,1828.7,991.1,20.7,16.6,4.37,14.6,8.89,354.4,38.3,2022-2023
Valladolid,546.0,67.7,193.9,237.6,120.6,16.8,18.9,8.13,8.37,302.6,1693.1,850.5,16.1,11.9,3.87,15.5,8.32,329.5,32.4,2022-2023
Villarreal,626.8,69.0,201.6,268.8,162.6,24.0,23.2,11.4,9.08,378.7,2143.8,1196.6,22.3,15.0,6.29,14.5,9.03,430.6,42.6,2022-2023
Alaves,478.4,56.9,161.1,199.1,123.8,20.1,16.4,8.16,6.68,225.6,1264.4,670.9,14.5,9.58,3.63,15.1,7.87,262.4,32.9,2023-2024
Almeria,550.1,69.8,202.9,245.3,107.7,16.2,17.6,7.87,8.26,292.8,1557.8,801.2,15.5,11.2,3.47,14.5,7.08,333.2,28.5,2023-2024
Athletic Club,601.2,51.7,167.8,279.4,160.1,23.7,19.6,8.89,9.18,328.6,1736.8,908.1,19.3,13.9,5.08,15.0,9.63,378.1,42.0,2023-2024
Atletico de Madrid,651.3,62.3,207.4,300.1,149.0,25.1,14.9,7.82,5.97,379.0,1909.2,1012.9,19.9,14.4,4.76,14.0,7.97,445.6,41.6,2023-2024
Barcelona,755.7,57.7,193.7,375.3,192.4,28.3,21.7,10.1,8.89,467.6,2534.5,1424.9,25.4,19.2,6.89,15.9,8.03,560.4,50.3,2023-2024
Betis,614.1,61.6,197.3,276.6,146.2,23.3,20.9,10.2,8.66,343.5,1811.7,898.5,17.8,13.0,4.89,16.5,11.2,399.6,37.5,2023-2024
Cadiz,504.4,59.0,167.8,221.7,119.8,15.0,14.1,6.05,6.92,254.3,1377.5,669.2,12.0,11.1,2.00,15.0,9.03,280.6,26.2,2023-2024
Celta Vigo,580.6,60.9,186.4,254.6,145.7,21.5,17.0,7.76,7.66,330.0,1681.4,860.3,17.4,12.9,4.26,15.8,8.84,362.4,35.1,2023-2024
Getafe,506.4,53.2,147.9,236.1,127.6,18.0,14.5,6.29,6.87,246.3,1292.1,647.8,11.6,10.1,3.21,15.2,7.39,279.0,29.6,2023-2024
Girona,678.4,70.9,221.9,304.8,157.5,25.7,19.6,9.29,7.82,422.5,2376.9,1227.0,23.5,15.8,6.16,15.4,9.89,489.7,44.0,2023-2024
