Equipo,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Temporada
Villarreal,437.7,522.7,83.7,7777.7,2663.1,0.87,1.14,1.01,-0.27,9.84,34.3,9.18,1.37,42.7,2022-2023
Alaves,265.6,371.5,71.5,5043.4,2194.6,0.74,0.85,0.81,-0.12,8.97,24.7,7.18,2.76,33.2,2023-2024
Almeria,336.2,435.3,77.2,6013.0,2262.0,0.66,0.90,0.65,-0.24,9.18,22.9,5.58,2.26,28.9,2023-2024
Athletic Club,381.8,492.7,77.5,6757.2,2531.8,1.08,0.97,1.06,0.11,9.34,31.7,9.03,2.97,42.4,2023-2024
Atletico de Madrid,449.1,545.0,82.4,7435.1,2671.1,1.26,1.25,1.16,0.02,9.45,32.3,10.0,1.79,42.0,2023-2024
Barcelona,565.9,651.6,86.9,9468.7,3011.8,1.45,1.51,1.52,-0.06,12.0,44.8,10.7,2.18,50.7,2023-2024
Betis,402.9,499.4,80.7,6761.6,2487.6,0.82,0.86,0.89,-0.04,9.68,27.3,8.61,1.39,37.9,2023-2024
Cadiz,283.2,394.5,71.8,5341.4,2268.9,0.45,0.66,0.69,-0.22,7.68,23.7,5.76,2.79,26.8,2023-2024
Celta Vigo,365.5,467.8,78.1,6209.1,2448.9,0.92,1.01,1.03,-0.08,9.66,29.7,7.71,1.87,35.4,2023-2024
Getafe,281.9,399.8,70.5,5452.8,2190.1,0.71,0.73,0.72,-0.02,8.53,27.3,5.79,2.71,30.0,2023-2024
Girona,494.6,576.7,85.8,8370.9,2855.4,1.68,1.42,1.38,0.26,9.92,37.7,9.53,2.32,44.3,2023-2024
Granada,319.1,420.4,75.9,5928.6,2320.9,0.71,0.82,0.80,-0.11,7.45,21.9,6.92,2.47,27.5,2023-2024
Las Palmas,502.8,602.2,83.5,7853.3,2905.1,0.61,0.61,0.74,-0.01,7.76,34.1,7.13,1.42,42.0,2023-2024
Mallorca,302.0,411.7,73.4,5745.9,2351.3,0.71,0.81,0.77,-0.10,8.11,25.7,6.18,2.71,30.9,2023-2024
Osasuna,338.8,456.2,74.3,6420.5,2549.0,0.84,0.75,0.83,0.09,7.92,29.7,6.92,2.74,34.8,2023-2024
Rayo Vallecano,349.5,459.4,76.1,6320.8,2479.1,0.32,0.65,0.67,-0.33,8.26,28.5,6.71,2.13,35.1,2023-2024
Real Madrid,573.5,649.8,88.3,9206.9,2965.3,1.74,1.38,1.33,0.36,12.5,44.8,10.3,1.55,50.9,2023-2024
Real Sociedad,401.7,506.6,79.3,7282.9,2464.0,0.95,0.81,0.87,0.14,8.42,29.8,6.47,1.66,37.2,2023-2024
Sevilla,384.9,489.4,78.6,7040.3,2557.1,0.79,0.83,0.86,-0.04,9.55,31.8,7.53,3.53,37.3,2023-2024
Valencia,321.9,427.8,75.3,5728.2,2110.1,0.63,0.71,0.64,-0.08,7.03,23.3,5.74,1.89,30.6,2023-2024
Villarreal,403.9,490.4,82.4,7315.9,2693.8,1.24,1.07,1.06,0.17,9.61,30.5,8.92,2.32,41.0,2023-2024
