Equipo,Derribos Tkl,Derribos TklG,Derribos 3.º def.,Derribos 3.º cent.,Derribos 3.º ataq.,Desafíos Tkl,Desafíos Att,Desafíos Tkl%,Desafíos Pérdida,Bloqueos,Bloqueos Dis,Bloqueos Pases,Intercepciones,Tkl+Int,Desp.,Err,Temporada
Cadiz,17.0,10.0,9.11,6.26,1.66,7.92,18.7,42.3,10.8,10.3,2.79,7.47,10.9,27.9,20.2,0.13,2021-2022
Celta Vigo,18.3,10.8,8.53,7.34,2.45,7.53,20.1,37.5,12.5,11.1,2.39,8.74,9.89,28.2,16.7,0.29,2021-2022
Elche,15.5,8.55,8.82,5.03,1.66,7.05,16.4,43.1,9.32,9.66,3.32,6.34,8.03,23.5,20.2,0.37,2021-2022
Espanyol,14.7,8.89,8.11,5.16,1.39,7.24,17.0,42.6,9.76,9.47,3.00,6.47,8.58,23.2,23.5,0.53,2021-2022
Getafe,15.4,9.47,7.00,6.39,2.05,6.53,15.6,41.8,9.11,10.5,2.53,8.00,10.6,26.0,18.9,0.21,2021-2022
Granada,16.1,9.03,8.16,6.32,1.61,7.21,16.6,43.4,9.42,11.5,3.42,8.08,8.58,24.7,22.1,0.21,2021-2022
Levante,14.7,8.03,7.05,5.58,2.05,6.24,16.1,38.8,9.84,8.58,2.89,5.68,9.92,24.6,19.3,0.32,2021-2022
Mallorca,16.0,8.74,7.92,6.18,1.87,6.53,14.5,45.0,7.97,9.84,3.13,6.71,9.05,25.0,21.7,0.24,2021-2022
Osasuna,15.2,8.71,7.11,6.21,1.87,6.61,15.7,42.0,9.13,8.95,3.03,5.92,9.68,24.9,19.9,0.13,2021-2022
Rayo Vallecano,16.3,9.45,8.42,6.24,1.68,7.37,18.1,40.7,10.7,10.8,2.50,8.29,9.61,25.9,18.1,0.24,2021-2022
Real Madrid,14.7,9.08,7.39,5.13,2.21,5.55,13.2,42.0,7.66,9.97,3.00,6.97,8.79,23.5,13.8,0.45,2021-2022
Real Sociedad,15.4,8.92,7.13,6.16,2.13,6.84,14.4,47.6,7.53,10.1,2.76,7.29,9.16,24.6,18.5,0.16,2021-2022
Sevilla,14.1,7.95,6.63,5.55,1.87,6.21,14.3,43.5,8.05,9.66,3.26,6.39,7.11,21.2,15.9,0.47,2021-2022
Valencia,15.6,9.58,7.61,5.71,2.24,7.00,16.4,42.7,9.39,9.82,2.45,7.37,8.92,24.5,19.6,0.21,2021-2022
Villarreal,14.2,8.21,6.58,5.18,2.39,6.03,12.5,48.1,6.50,8.68,2.87,5.82,8.66,22.8,16.9,0.42,2021-2022
Almeria,14.7,8.47,7.68,5.32,1.66,7.37,16.4,44.9,9.03,11.4,3.21,8.24,8.47,23.1,22.5,0.34,2022-2023
Athletic Club,16.0,9.71,7.03,6.68,2.29,8.47,16.9,50.2,8.42,10.9,2.50,8.42,8.16,24.2,15.7,0.37,2022-2023
Atletico de Madrid,17.6,10.7,8.74,6.45,2.37,8.79,18.0,48.8,9.24,10.4,2.71,7.71,8.00,25.6,18.5,0.24,2022-2023
Barcelona,13.7,8.53,5.55,5.68,2.50,5.97,13.1,45.6,7.13,9.29,2.16,7.13,6.66,20.4,11.6,0.45,2022-2023
Betis,17.5,11.1,9.82,6.26,1.42,8.89,18.4,48.2,9.55,10.8,2.95,7.87,9.58,27.1,22.6,0.18,2022-2023
Cadiz,16.4,10.8,9.42,5.39,1.58,8.42,17.7,47.7,9.24,11.2,3.37,7.82,7.11,23.5,22.4,0.34,2022-2023
Celta Vigo,17.5,10.9,8.39,7.08,2.00,7.76,17.8,43.6,10.0,10.3,2.21,8.13,9.68,27.2,17.5,0.13,2022-2023
Elche,16.7,9.55,9.66,5.58,1.42,7.37,15.9,46.4,8.50,10.9,3.45,7.42,8.50,25.2,20.2,0.34,2022-2023
Espanyol,17.2,9.97,8.68,6.29,2.18,7.92,15.8,50.2,7.87,10.9,3.53,7.42,8.89,26.1,20.7,0.24,2022-2023
Getafe,14.2,8.92,7.42,5.24,1.58,7.50,16.3,46.0,8.79,10.6,2.97,7.66,8.42,22.7,20.9,0.26,2022-2023
Girona,14.5,8.45,7.13,5.61,1.76,6.42,14.0,45.9,7.58,9.97,2.92,7.05,7.00,21.5,17.4,0.53,2022-2023
Mallorca,15.3,9.05,8.37,5.61,1.37,7.45,15.3,48.7,7.84,10.6,3.84,6.74,8.37,23.7,22.6,0.18,2022-2023
Osasuna,14.1,8.63,6.74,5.16,2.16,7.00,15.5,45.2,8.47,10.3,2.55,7.76,8.29,22.3,19.7,0.26,2022-2023
Rayo Vallecano,16.7,10.3,6.89,7.26,2.58,7.39,17.5,42.3,10.1,11.3,2.42,8.84,8.13,24.9,17.9,0.29,2022-2023
Real Madrid,14.3,9.29,6.37,5.58,2.32,6.82,14.9,45.8,8.05,9.61,2.76,6.84,7.79,22.1,12.3,0.13,2022-2023
Real Sociedad,17.4,10.4,8.00,6.68,2.68,7.50,16.1,46.5,8.63,10.5,2.71,7.79,7.13,24.5,16.4,0.34,2022-2023
Sevilla,15.4,9.66,6.87,6.05,2.53,7.39,15.6,47.5,8.16,9.50,3.34,6.16,8.92,24.4,16.7,0.24,2022-2023
Valencia,17.8,11.3,8.95,6.68,2.21,8.18,17.0,48.2,8.79,9.74,1.97,7.76,7.58,25.4,16.9,0.55,2022-2023
Valladolid,17.7,10.4,8.79,6.61,2.26,7.79,16.5,47.1,8.74,11.4,3.92,7.45,9.08,26.7,20.2,0.21,2022-2023
Villarreal,15.2,9.74,7.26,5.29,2.66,7.11,14.1,50.6,6.95,9.79,3.29,6.50,6.89,22.1,18.2,0.42,2022-2023
Alaves,15.2,9.13,7.47,5.97,1.76,7.63,16.6,46.1,8.92,9.55,3.08,6.47,7.34,22.6,21.3,0.13,2023-2024
Almeria,16.7,9.79,9.32,5.84,1.50,7.37,15.3,48.1,7.95,11.3,3.53,7.79,8.24,24.9,22.5,0.50,2023-2024
