idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
516,Alaves,Sevilla,1,1,2018-2019
517,Barcelona,Villarreal,2,0,2018-2019
518,Betis,Real Sociedad,1,0,2018-2019
519,Girona,Atletico de Madrid,1,1,2018-2019
520,Levante,Athletic Club,3,0,2018-2019
521,Leganes,Getafe,1,1,2018-2019
522,Atletico de Madrid,Alaves,3,0,2018-2019
523,Espanyol,Barcelona,0,4,2018-2019
524,Villarreal,Celta Vigo,2,3,2018-2019
525,Valencia,Sevilla,1,1,2018-2019
526,Betis,Rayo Vallecano,2,0,2018-2019
527,Eibar,Levante,4,4,2018-2019
528,Huesca,Real Madrid,0,1,2018-2019
529,Real Sociedad,Valladolid,1,2,2018-2019
530,Athletic Club,Girona,1,0,2018-2019
531,Celta Vigo,Leganes,0,0,2018-2019
532,Eibar,Valencia,1,1,2018-2019
533,Getafe,Real Sociedad,1,0,2018-2019
534,Valladolid,Atletico de Madrid,2,3,2018-2019
535,Real Madrid,Rayo Vallecano,1,0,2018-2019
536,Huesca,Villarreal,2,2,2018-2019
537,Levante,Barcelona,0,5,2018-2019
538,Espanyol,Betis,1,3,2018-2019
539,Sevilla,Girona,2,0,2018-2019
540,Alaves,Athletic Club,0,0,2018-2019
541,Real Sociedad,Alaves,0,1,2018-2019
542,Girona,Getafe,1,1,2018-2019
543,Athletic Club,Valladolid,1,1,2018-2019
544,Atletico de Madrid,Espanyol,1,0,2018-2019
545,Barcelona,Celta Vigo,2,0,2018-2019
546,Betis,Eibar,1,1,2018-2019
547,Leganes,Sevilla,1,1,2018-2019
548,Valencia,Huesca,2,1,2018-2019
549,Rayo Vallecano,Levante,2,1,2018-2019
550,Villarreal,Real Madrid,2,2,2018-2019
551,Espanyol,Leganes,1,0,2018-2019
552,Levante,Girona,2,2,2018-2019
553,Alaves,Valencia,2,1,2018-2019
554,Huesca,Betis,2,1,2018-2019
555,Valladolid,Rayo Vallecano,0,1,2018-2019
556,Eibar,Villarreal,0,0,2018-2019
557,Real Madrid,Real Sociedad,0,2,2018-2019
558,Sevilla,Atletico de Madrid,1,1,2018-2019
559,Getafe,Barcelona,1,2,2018-2019
560,Celta Vigo,Athletic Club,1,2,2018-2019
561,Rayo Vallecano,Celta Vigo,4,2,2018-2019
562,Valencia,Valladolid,1,1,2018-2019
563,Girona,Alaves,1,1,2018-2019
564,Villarreal,Getafe,1,2,2018-2019
565,Leganes,Huesca,1,0,2018-2019
566,Athletic Club,Sevilla,2,0,2018-2019
567,Atletico de Madrid,Levante,1,0,2018-2019
